source_ip,destination_ip,source_port,destination_port,protocol,timestamp,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes/bulk,fwd_avg_packets/bulk,fwd_avg_bulk_rate,bwd_avg_bytes/bulk,bwd_avg_packets/bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,60,60,0,0,0,0,0,0,1,0,0,0,1,0,60,0,60,1,0,0,0,0,1,60,0,0,16381,16381,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,2,0,120,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,60,60,0,0,0,0,0,0,2,0,0,0,2,0,60,0,60,2,0,0,0,0,2,120,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,3,0,180,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,60,60,0,0,0,0,0,0,3,0,0,0,3,0,60,0,60,3,0,0,0,0,3,180,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,4,0,240,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,60,60,60,0,0,0,0,0,0,4,0,0,0,4,0,60,0,60,4,0,0,0,0,4,240,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,5,0,300,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,60,60,60,0,0,0,0,0,0,5,0,0,0,5,0,60,0,60,5,0,0,0,0,5,300,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,6,0,360,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,60,60,60,0,0,0,0,0,0,6,0,0,0,6,0,60,0,60,6,0,0,0,0,6,360,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.3,0,7,0,420,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,60,60,60,0,0,0,0,0,0,7,0,0,0,7,0,60,0,60,7,0,0,0,0,7,420,0,0,16386,16386,0,60,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.4,0,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,93,93,93,0,0,0,0,0,1,1,0,0,0,1,0,93,0,93,1,0,0,0,0,1,93,0,0,16386,16386,0,93,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,52.182.143.209,65002,443,TCP,24:03.4,0,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,54,54,54,0,0,0,0,0,0,1,0,0,0,1,0,54,0,54,1,0,0,0,0,1,54,0,0,512,512,0,54,0,0,0,0,0,0,0,0,PortScan
52.182.143.209,192.168.1.101,443,65002,TCP,24:03.6,246.131,2,0,246,0,153,93,123,30,0,0,0,0,999.4677631,8.125754172,123.0655,123.0655,246.131,0,246.131,123.0655,123.0655,246.131,0,0,0,0,0,0,0,0,0,0,40,0,0,0,93,153,123,30,900,0,0,0,2,2,0,0,0,2,0,123,0,123,2,0.499733882,0,0,0,2,246,0,0,16386,16386,0,93,123.0655,123.0655,246.131,0,123.0655,123.0655,246.131,0,PortScan
